place_name,place_id,place_lat,place_lng,place_type
Baby Boo,a92a646c3fa183ddb1dec9775c8b6fb3d511613e,-9.6377472,-35.7050214,clothing_store
Maneka,816c325f4cee5e472b509575cd141f01100dba36,-9.644552599999999,-35.70611210000001,clothing_store
Só Para Pequenos,96dd899cc50f913bcab8ba8693996b2ca31debb9,-9.645045699999999,-35.7029354,clothing_store
Fábia Muniz,413f4457874cb1cb26ccd123a89736ef1f954ae7,-9.6450857,-35.7029086,clothing_store
Madama tamanhos especiais,35f4f2b39888a70bb113bd839c5f054921b7ef08,-9.645097500000002,-35.70289579999999,clothing_store
Turnbull - Showroom e Ateliê,3a750aaf22168e87c38510d187b65daf27fd610c,-9.643825999999999,-35.707539,clothing_store
Luna Kids,b8290840c1e305144eb5325579d8f6179f3d6b0c,-9.644935,-35.700892,clothing_store
BOBSTORE,b2590c01860e610d1739dcd647bbb19d10b69e6c,-9.6451438,-35.70077379999999,clothing_store
Handara,a51889cb2ab0c238a28723f98412ef715972e040,-9.6448842,-35.708,clothing_store
O Boticário,8fea895c070e2e998acf4537c3cf0189d11e72aa,-9.6473133,-35.7052147,clothing_store
Desigual,625cad708c87061e6bb901ba1779ad41733d3531,-9.645218300000002,-35.7084232,clothing_store
Caju Ameixa,4daae3c74a0b096fa4d78eede8fd8647908fd9ce,-9.6475572,-35.705192,clothing_store
Básico Chic,dd1791b482ffb87e1cd4bab944901dbb99b4f6d9,-9.646012800000001,-35.70039939999999,clothing_store
Água de Coco,30f48d95c2ad7fdac6bb136747f2a99f6c60123f,-9.646024800000001,-35.7001037,clothing_store
Fator 5 | Maceio/AL,679af3ac340c11a371f7560dbef42c9d242f6e9e,-9.6384364,-35.7001859,clothing_store
Orange Plus Size,14c41a45b7b2ab2a8fc6c05de075e1a76d86dade,-9.634281900000001,-35.7020869,clothing_store
Madames Moda,898e5da9c47825631c10af04a150c4c04f07dd79,-9.6449106,-35.7061358,clothing_store
Seda Pura Ltda,bf603a8212fc9c2d0d90537ccdd648b7381448c7,-9.6448252,-35.7085845,clothing_store
Falconery,26be56a28085f40535fffdd1aca35c9b9132012b,-9.6412535,-35.7030959,clothing_store
Loja Friuli,4e283f7a888280ab1e3cab8443801bd0b01d08ff,-9.6429645,-35.7046373,clothing_store
E T C Malhas Esportivas,0206b8c43682108bae7110b9f5f4a6b52e15ab91,-9.6437937,-35.70469690000001,clothing_store
PKD Boutique,984b0354691ebfcc98aa8375fc91db3f12f15ce5,-9.643295599999998,-35.7025132,clothing_store
BARONEZZA,28ad564f597a34db41cae87ffb109ab25f1a17d7,-9.643263499999998,-35.7023984,clothing_store
Alfândega Perfumes,ae2e533db2133b71d84af07b18cd035a98ab9830,-9.637821299999997,-35.7046676,clothing_store
PROGRAM MODA,198415078431c6a14c0a9a7a205e71751750e3ad,-9.6375949,-35.7036772,clothing_store
SUJEITO®️ Men’s Store,51d3940907c280e6664adc33e0a70d97ef76c8ea,-9.6428476,-35.7075942,clothing_store
Orange Lingerie,48b724575e333f8355393d387e5afff7f06dea8d,-9.637764500000001,-35.7056867,clothing_store
Donna S,d40cf75f3f6b3a8c107cb55e4f33f5ecb5237c56,-9.644190999999998,-35.701489,clothing_store
Varal,3f9f66720eac3babbfaae1258bf5e5f3cef866b3,-9.645028199999999,-35.7028449,clothing_store
CIRANDA,8fe92b47700cc3cde68ecfb857d2e18c074ba7b4,-9.6431206,-35.70818149999999,clothing_store
GugaLuca Atelier,95717cb343345a1288ff7664ff0f6e1a96d77e40,-9.644934500000002,-35.7066019,clothing_store
Cygnus Moda,fff0bf13e51337f3af4c2637beb1fd86d6f615c1,-9.6450107,-35.70650049999999,clothing_store
Happy Baby,72f678fea7bfc74132b51480cd988ac4f2252388,-9.644952800000002,-35.70670059999999,clothing_store
Calçadão Centro de Maceio,0f6a697c8985c38f14074550db3fa086bc4c9dc3,-9.642978800000002,-35.70840769999999,clothing_store
Elô M Store,f73b1201fe95d8f6811f310b776254dd197a09cc,-9.645319899999999,-35.7066538,clothing_store
Tarântula Modas,5659b4bdfedb678b61e426415c5e9ceee6279161,-9.637059,-35.701781,clothing_store
El Shaday,46ce824cb466a6bcca1ac8d1cab55423f92e86c9,-9.63654,-35.7029662,clothing_store
San Remo Baby,8a124a6aae911d9946a09e0399199f0b2b1bf43b,-9.6448102,-35.70975969999999,clothing_store
Ateliê Denise Matias,8ede3c5bd87e20bed1987f669b26c0e8636c670e,-9.645777199999998,-35.70634399999999,clothing_store
Luna Balloon,a21149eced617a1deec0b40e28eda3de264562c3,-9.6461949,-35.7052348,clothing_store
Infinitta Store,b967458d0ff99c387b66840958267e4f5b04b375,-9.6461949,-35.7052348,clothing_store
Luna Kids - Moda Infantil,b59004839ef4112cbea9155397d729abafb1d51f,-9.645211699999999,-35.7009077,clothing_store
Nilce Yost Collection,c8c86985f56c3496be8db776a6bbf3964bfc7290,-9.6462807,-35.7051914,clothing_store
Ellus,e7c61c8a630a4a41ab177c526fe3ee7a2eb6dbd6,-9.6451337,-35.70073259999999,clothing_store
La Femenina,57fab1b406c487466c4daef492575444eb913e2b,-9.645084899999997,-35.7081789,clothing_store
Mammoth Store,6eca50a7b8f0b2747372934986ec66f1ef01e5d5,-9.6455372,-35.7005057,clothing_store
Água de Cheiro,729b50745406843f3fe408e2122281474c6e391e,-9.6467104,-35.7056975,clothing_store
Célia Modas e Variedades,209b03527017db7391b94cb63e9bc809e892dbe2,-9.636821,-35.700506,clothing_store
Reinação Moda Infantil,9907a62178fca07952e4930f71a3aac872f5ec54,-9.6453361,-35.7082941,clothing_store
Griffes,98a76085da20d28d3dec3f9d4cf68aeb1e05635b,-9.645993899999997,-35.7002591,clothing_store
ROSALINDA STORE,864f919b765629b5411cf0c5a271c949004ba683,-9.6352394,-35.7028519,clothing_store
NGC224 Perfumes,3874ec41296db70bf02bda4bc1557ede31e24777,-9.6465069,-35.70760370000001,clothing_store
O Boticário,6a020b2a1299711816af409e0656bd934209db0f,-9.6447708,-35.7094636,clothing_store
Edna Modas,c1b489858a73a51c1af1ee3309e949c28bb5a3f9,-9.638765800000002,-35.71004540000001,clothing_store
Loja estacione,5d8c89fbb3e6b3432ba82591c6f5be21f828f62d,-9.6479539,-35.7051109,clothing_store
sterbella store,b83eba9936163a5ae4083ee56f16709d9db2db51,-9.6477236,-35.70625309999999,clothing_store
Boutique do Cheiro,2af832d76620300d8494f2c0d7f66b19284f1bf0,-9.6346548,-35.7007327,clothing_store
Qbonita Store AL,98ab40bc38a0bd19ad6b750933f494a064656664,-9.643770100000001,-35.7113769,clothing_store
Barbarella Delicatessen Ltda.,fbad0ba782a8c4a92f251a4f841008459f32f8d7,-9.644646900000001,-35.7010355,convenience_store
Casa Vieira,b5b602b14ae6448dde907735fbb9a1e0357441d8,-9.6377472,-35.7050214,department_store
Comercial Drugstone,f4beef51479c85b5c8627777b15d0b73823b250b,-9.642924899999999,-35.7067509,drugstore
Drugstore Pay Less,8bab698f6ab6e045b759a9784b300271b99949f8,-9.643312600000002,-35.7014327,drugstore
Drogasil,8824521a976493347990f50e4397f08372cfb3d8,-9.6434047,-35.7007173,drugstore
Drogasil,8bd4a0a8f80575fc1eece1b0536d56de5d43d8a7,-9.645437500000002,-35.7052057,drugstore
